Company Name,Industry,Symbol,Series,ISIN Code,Belongs_To_Indices
DLF Ltd.,Realty,DLF,EQ,INE271C01023,"NIFTY INDIA CONSUMPTION, NIFTY INFRASTRUCTURE, NIFTY REALTY"
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,"NIFTY INDIA MANUFACTURING, NIFTY PHARMA"
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,"NIFTY AUTO, NIFTY INDIA CONSUMPTION, NIFTY INDIA MANUFACTURING"
Eternal,Consumer Services,ETERNAL,EQ,INE758T01015,"NIFTY INDIA CONSUMPTION, NIFTY INDIA DIGITAL, NIFTY SERVICES SECTOR"
Exide Industries Limited,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,NIFTY AUTO
Federal Bank Limited,Financial Services,FEDERALBNK,EQ,INE514A01024,"NIFTY BANK, NIFTY PRIVATE BANK"
Fortis Healthcare Limited,Healthcare,FORTIS,EQ,INE455K01017,NIFTY INFRASTRUCTURE
Gail (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,"NIFTY ENERGY, NIFTY INFRASTRUCTURE, NIFTY PSE, NIFTY SERVICES SECTOR"
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,NIFTY PHARMA
Gmr Airports Infrastructure Limited,Services,GMRAIRPORT,EQ,INE113A01013,NIFTY SERVICES SECTOR
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,"NIFTY FMCG, NIFTY INDIA CONSUMPTION"
Godrej Properties Limited,Realty,GODREJPROP,EQ,INE622G01014,NIFTY REALTY
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,"NIFTY COMMODITIES, NIFTY INFRASTRUCTURE"
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020,"NIFTY INDIA MANUFACTURING, NIFTY PSE"
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,"NIFTY INDIA CONSUMPTION, NIFTY INDIA MANUFACTURING"
Hcl Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,"NIFTY INDIA DIGITAL, NIFTY IT, NIFTY SERVICES SECTOR"
Hdfc Amc Limited,Financial Services,HDFCAMC,EQ,INE127D01025,NIFTY FINANCIAL SERVICES
Hdfc Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,"NIFTY BANK, NIFTY FINANCIAL SERVICES, NIFTY PRIVATE BANK, NIFTY SERVICES SECTOR"
Hdfc Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,"NIFTY FINANCIAL SERVICES, NIFTY SERVICES SECTOR"
Hero Motocorp Limited,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01062,"NIFTY AUTO, NIFTY INDIA CONSUMPTION"
Hfcl Limited,Telecommunication,HFCL,EQ,INE533E01012,NIFTY SERVICES SECTOR
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,"NIFTY COMMODITIES, NIFTY INDIA MANUFACTURING, NIFTY METAL"
Hindustan Petroleum Corporation Limited,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,"NIFTY COMMODITIES, NIFTY ENERGY, NIFTY INFRASTRUCTURE, NIFTY PSE"
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,"NIFTY FMCG, NIFTY INDIA CONSUMPTION, NIFTY MNC"
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,"NIFTY INDIA MANUFACTURING, NIFTY METAL"
Hudco Limited,Construction,HUDCO,EQ,INE149A01025,UNMAPPED_SECTORAL
Icici Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,"NIFTY BANK, NIFTY FINANCIAL SERVICES, NIFTY PRIVATE BANK, NIFTY SERVICES SECTOR"
Icici Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,NIFTY FINANCIAL SERVICES
Icici Prudential Life Insurance Company Limited,Financial Services,ICICIPRULI,EQ,INE667F01014,NIFTY FINANCIAL SERVICES
Idea Cellular Limited,Telecommunication,IDEA,EQ,INE054A01016,NIFTY INDIA DIGITAL
Idfc First Bank Limited,Financial Services,IDFCFIRSTB,EQ,INE629G01017,"NIFTY BANK, NIFTY PRIVATE BANK"
Iex (India) Limited,Telecommunication,IEX,EQ,INE149J01010,NIFTY SERVICES SECTOR
Iifl Finance Limited,Financial Services,IIFL,EQ,INE216J01012,NIFTY FINANCIAL SERVICES
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,"NIFTY INDIA CONSUMPTION, NIFTY INFRASTRUCTURE"
Indian Bank,Financial Services,INDIANB,EQ,INE240A01016,NIFTY PSU BANK
Indigo,Services,INDIGO,EQ,INE646L01027,"NIFTY INDIA CONSUMPTION, NIFTY INFRASTRUCTURE, NIFTY SERVICES SECTOR"
Indusind Bank Limited,Financial Services,INDUSINDBK,EQ,INE095A01012,"NIFTY BANK, NIFTY PRIVATE BANK, NIFTY SERVICES SECTOR"
Industower Limited,Telecommunication,INDUSTOWER,EQ,INE121H01013,NIFTY INFRASTRUCTURE
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,"NIFTY INDIA DIGITAL, NIFTY IT, NIFTY SERVICES SECTOR"
Inox Wind Limited,Power,INOXWIND,EQ,INE057A01026,NIFTY ENERGY
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,"NIFTY COMMODITIES, NIFTY ENERGY, NIFTY INDIA MANUFACTURING, NIFTY INFRASTRUCTURE, NIFTY PSE"
Irctc,Services,IRCTC,EQ,INE027F01015,"NIFTY INDIA DIGITAL, NIFTY PSE"
Ireda,Power,IREDA,EQ,INE161A01016,NIFTY ENERGY
Irfc,Financial Services,IRFC,EQ,INE053F01010,NIFTY PSE
Itc Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,"NIFTY FMCG, NIFTY INDIA CONSUMPTION"
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030,"NIFTY COMMODITIES, NIFTY INDIA MANUFACTURING, NIFTY METAL"
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017,"NIFTY FINANCIAL SERVICES, NIFTY SERVICES SECTOR"
Jsw Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018,"NIFTY COMMODITIES, NIFTY ENERGY"
Jsw Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038,"NIFTY COMMODITIES, NIFTY INDIA MANUFACTURING, NIFTY METAL"
Jubilant Foodworks Limited,Consumer Services,JUBLFOOD,EQ,INE797F01012,NIFTY INDIA CONSUMPTION
Kalyan Jewellers India Limited,Consumer Durables,KALYANKJIL,EQ,INE783A01011,NIFTY CONSUMER DURABLES
Kaynes Technology India Limited,Information Technology,KAYNES,EQ,INE539E01020,NIFTY INDIA MANUFACTURING
Kei Industries Limited,Consumer Durables,KEI,EQ,INE837J01012,NIFTY INDIA MANUFACTURING
Kfintech,Financial Services,KFINTECH,EQ,INE237I01015,NIFTY FINANCIAL SERVICES
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028,"NIFTY BANK, NIFTY FINANCIAL SERVICES, NIFTY PRIVATE BANK, NIFTY SERVICES SECTOR"
Kpit Technologies Limited,Information Technology,KPITTECH,EQ,INE591G01016,NIFTY INDIA DIGITAL
Laurusabs,Healthcare,LAURUSLABS,EQ,INE575A01020,"NIFTY INDIA MANUFACTURING, NIFTY PHARMA"
Lichsgfin,Financial Services,LICHSGFIN,EQ,INE121G01013,NIFTY FINANCIAL SERVICES
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,NIFTY FINANCIAL SERVICES
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029,NIFTY REALTY
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030,NIFTY INFRASTRUCTURE
Ltf,Financial Services,LTF,EQ,INE730A01018,NIFTY FINANCIAL SERVICES
Ltim,Information Technology,LTIM,EQ,INE214T01019,NIFTY IT
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037,"NIFTY INDIA MANUFACTURING, NIFTY PHARMA"
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,NIFTY AUTO
Manappuram Finance Limited,Financial Services,MANAPPURAM,EQ,INE611A01011,NIFTY FINANCIAL SERVICES
Mankind Pharma,Healthcare,MANKIND,EQ,INE808D01011,NIFTY PHARMA
Marico Limited,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026,NIFTY FMCG
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,"NIFTY AUTO, NIFTY INDIA CONSUMPTION, NIFTY INDIA MANUFACTURING, NIFTY MNC"
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010,"NIFTY INDIA CONSUMPTION, NIFTY INFRASTRUCTURE, NIFTY SERVICES SECTOR"
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020,NIFTY INDIA MANUFACTURING
Mcx,Financial Services,MCX,EQ,INE539A01018,NIFTY FINANCIAL SERVICES
Motilal Oswal Financial Services Limited,Financial Services,MFSL,EQ,INE739A01024,NIFTY FINANCIAL SERVICES
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,"NIFTY AUTO, NIFTY INDIA MANUFACTURING, NIFTY INFRASTRUCTURE"
Mphasis,Information Technology,MPHASIS,EQ,INE356A01018,"NIFTY INDIA DIGITAL, NIFTY IT"
Muthoot Finance Limited,Financial Services,MUTHOOTFIN,EQ,INE414G01012,NIFTY FINANCIAL SERVICES
Nalco,Metals & Mining,NATIONALUM,EQ,INE245A01021,NIFTY METAL
Naukri,Consumer Services,NAUKRI,EQ,INE663F01032,"NIFTY INDIA CONSUMPTION, NIFTY INDIA DIGITAL, NIFTY SERVICES SECTOR"
Ncc,Construction,NCC,EQ,INE849A01013,UNMAPPED_SECTORAL
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,"NIFTY FMCG, NIFTY INDIA CONSUMPTION, NIFTY MNC"
Nhpc Limited,Power,NHPC,EQ,INE848E01016,"NIFTY COMMODITIES, NIFTY CPSE, NIFTY ENERGY, NIFTY PSE"
Nmdc Limited,Metals & Mining,NMDC,EQ,INE584A01016,"NIFTY COMMODITIES, NIFTY METAL, NIFTY PSE"
Ntpc Ltd.,Power,NTPC,EQ,INE733E01010,"NIFTY COMMODITIES, NIFTY CPSE, NIFTY ENERGY, NIFTY INFRASTRUCTURE, NIFTY PSE, NIFTY SERVICES SECTOR"
Nykaa,Consumer Services,NYKAA,EQ,INE720A01015,NIFTY INDIA DIGITAL
Oberoi Realty Limited,Realty,OBEROIRLTY,EQ,INE093I01014,NIFTY REALTY
Ofss,Financial Services,OFSS,EQ,INE119A01028,"NIFTY INDIA DIGITAL, NIFTY IT, NIFTY MNC"
Oil And Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274U01010,"NIFTY COMMODITIES, NIFTY CPSE, NIFTY ENERGY, NIFTY PSE"
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,"NIFTY COMMODITIES, NIFTY CPSE, NIFTY ENERGY, NIFTY INFRASTRUCTURE, NIFTY PSE"
Page Industries Limited,Consumer Durables,PAGEIND,EQ,INE296A01024,NIFTY INDIA MANUFACTURING
Patanjali Ayurved Limited,Fast Moving Consumer Goods,PATANJALI,EQ,INE961H01010,NIFTY FMCG
Paytm,Financial Services,PAYTM,EQ,INE885A01012,NIFTY INDIA DIGITAL
Persistent Systems Limited,Information Technology,PERSISTENT,EQ,INE262H01013,"NIFTY INDIA DIGITAL, NIFTY IT"
Petronet Lng Limited,Oil Gas & Consumable Fuels,PETRONET,EQ,INE669E01016,NIFTY ENERGY
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,"NIFTY FINANCIAL SERVICES, NIFTY PSE"
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,"NIFTY CPSE, NIFTY ENERGY, NIFTY INFRASTRUCTURE, NIFTY PSE, NIFTY SERVICES SECTOR"
Powergrid,Power,PGEL,EQ,INE752E01010,NIFTY ENERGY
Pplpharma,Healthcare,PPLPHARMA,EQ,INE127H01011,NIFTY PHARMA
Prestige Estates Projects Limited,Realty,PRESTIGE,EQ,INE763G01019,NIFTY REALTY
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,"NIFTY BANK, NIFTY PSU BANK"
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,"NIFTY COMMODITIES, NIFTY INDIA MANUFACTURING"
Pillar Infrastructure Limited,Information Technology,PIIND,EQ,INE670A01015,"NIFTY COMMODITIES, NIFTY INDIA MANUFACTURING"
Policybazaar,Financial Services,POLICYBZR,EQ,INE464A01016,NIFTY INDIA DIGITAL
Polycab,Consumer Durables,POLYCAB,EQ,INE716A01013,NIFTY INDIA MANUFACTURING
Rbl Bank Limited,Financial Services,RBLBANK,EQ,INE431A01020,NIFTY PRIVATE BANK
Rec Ltd.,Financial Services,RECLTD,EQ,INE020B01018,"NIFTY FINANCIAL SERVICES, NIFTY PSE"
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,"NIFTY COMMODITIES, NIFTY ENERGY, NIFTY INDIA MANUFACTURING, NIFTY INFRASTRUCTURE"
Rvn,Services,RVNL,EQ,INE244A01019,NIFTY PSE
Sail,Metals & Mining,SAIL,EQ,INE114A01011,NIFTY METAL
Sbi Card And Payment Services Limited,Financial Services,SBICARD,EQ,INE221A01015,NIFTY FINANCIAL SERVICES
Sbi Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,"NIFTY FINANCIAL SERVICES, NIFTY SERVICES SECTOR"
State Bank Of India,Financial Services,SBIN,EQ,INE062A01020,"NIFTY BANK, NIFTY FINANCIAL SERVICES, NIFTY PSU BANK, NIFTY SERVICES SECTOR"
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,"NIFTY COMMODITIES, NIFTY INFRASTRUCTURE"
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,"NIFTY FINANCIAL SERVICES, NIFTY SERVICES SECTOR"
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,"NIFTY ENERGY, NIFTY INDIA MANUFACTURING, NIFTY MNC"
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029,NIFTY INDIA MANUFACTURING
Sonacoms,Telecommunication,SONACOMS,EQ,INE011A01023,"NIFTY AUTO, NIFTY INDIA MANUFACTURING"
Srf Limited,Chemicals,SRF,EQ,INE647O01012,"NIFTY COMMODITIES, NIFTY INDIA MANUFACTURING"
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,"NIFTY INDIA MANUFACTURING, NIFTY PHARMA"
Supreme Industries Limited,Consumer Durables,SUPREMEIND,EQ,INE594A01014,NIFTY INDIA MANUFACTURING
Syngene International Limited,Healthcare,SYNGENE,EQ,INE398R01022,NIFTY PHARMA
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,"NIFTY FMCG, NIFTY INDIA CONSUMPTION"
Tata Elxsi Limited,Information Technology,TATAELXSI,EQ,INE687G01015,NIFTY INDIA DIGITAL
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,NIFTY AUTO
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,"NIFTY COMMODITIES, NIFTY ENERGY, NIFTY INDIA CONSUMPTION, NIFTY INFRASTRUCTURE, NIFTY SERVICES SECTOR"
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,"NIFTY COMMODITIES, NIFTY INDIA MANUFACTURING, NIFTY METAL"
Tata Technologies,Information Technology,TATATECH,EQ,INE378A01013,NIFTY INDIA DIGITAL
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,"NIFTY INDIA DIGITAL, NIFTY IT, NIFTY SERVICES SECTOR"
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,"NIFTY INDIA DIGITAL, NIFTY IT, NIFTY SERVICES SECTOR"
Ti India Limited,Realty,TIINDIA,EQ,INE799A01016,"NIFTY AUTO, NIFTY INDIA MANUFACTURING"
Titagarh Rail Systems Limited,Capital Goods,TITAGARH,EQ,INE310A01014,NIFTY INDIA MANUFACTURING
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,NIFTY INDIA CONSUMPTION
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,"NIFTY INDIA MANUFACTURING, NIFTY PHARMA"
Torrent Power Limited,Power,TORNTPOWER,EQ,INE813A01016,"NIFTY COMMODITIES, NIFTY ENERGY"
Trent Limited,Consumer Services,TRENT,EQ,INE687G01012,NIFTY INDIA CONSUMPTION
Tvs Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,"NIFTY AUTO, NIFTY INDIA CONSUMPTION, NIFTY INDIA MANUFACTURING"
Ultracemco Limited,Construction Materials,ULTRACEMCO,EQ,INE481G01011,"NIFTY COMMODITIES, NIFTY INFRASTRUCTURE"
Union Bank Of India,Financial Services,UNIONBANK,EQ,INE196A01015,"NIFTY BANK, NIFTY PSU BANK"
United Spirits Limited,Fast Moving Consumer Goods,UNITDSPR,EQ,INE103D01017,"NIFTY FMCG, NIFTY INDIA CONSUMPTION, NIFTY MNC"
Uno Minda Limited,Automobile and Auto Components,UNOMINDA,EQ,INE117J01012,"NIFTY AUTO, NIFTY INDIA MANUFACTURING"
Upl Limited,Chemicals,UPL,EQ,INE628A01036,"NIFTY COMMODITIES, NIFTY INDIA MANUFACTURING"
Varun Beverages Limited,Fast Moving Consumer Goods,VBL,EQ,INE361B01027,"NIFTY FMCG, NIFTY INDIA CONSUMPTION"
Vedanta Limited,Metals & Mining,VEDL,EQ,INE205A01025,"NIFTY COMMODITIES, NIFTY INDIA MANUFACTURING, NIFTY METAL, NIFTY MNC"
Voltas Limited,Consumer Durables,VOLTAS,EQ,INE697A01010,NIFTY INDIA MANUFACTURING
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,"NIFTY INDIA DIGITAL, NIFTY IT, NIFTY SERVICES SECTOR"
Yes Bank Limited,Financial Services,YESBANK,EQ,INE528G01035,"NIFTY BANK, NIFTY PRIVATE BANK"
Zydus Lifesciences Limited,Healthcare,ZYDUSLIFE,EQ,INE010B01027,"NIFTY INDIA MANUFACTURING, NIFTY PHARMA"
